trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.75, 'e': 0.99998750002604164}",20,0,-95.13755111487218,"{0: 10, 1: 3, 2: 5, 3: 2, 4: 0}",0
2,False,"{'a': 0.75, 'e': 0.99995000041666526}",20,0,-71.36289164696203,"{0: 11, 1: 3, 2: 5, 3: 1, 4: 0}",0
3,False,"{'a': 0.75, 'e': 0.99988750210935917}",25,0,-131.0737102178591,"{0: 12, 1: 7, 2: 3, 3: 2, 4: 1}",0
4,False,"{'a': 0.75, 'e': 0.99980000666657776}",30,0,-190.3994164410667,"{0: 15, 1: 5, 2: 6, 3: 2, 4: 2}",0
5,False,"{'a': 0.75, 'e': 0.99968751627570263}",20,13,1.5454217589290487,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
6,False,"{'a': 0.75, 'e': 0.99955003374898754}",20,0,-93.29958705603563,"{0: 10, 1: 3, 2: 5, 3: 2, 4: 0}",0
7,False,"{'a': 0.75, 'e': 0.99938756252348859}",20,0,-152.2699412024844,"{0: 11, 1: 1, 2: 4, 3: 2, 4: 2}",0
8,False,"{'a': 0.75, 'e': 0.99920010666097792}",25,0,-44.10466882350155,"{0: 19, 1: 1, 2: 4, 3: 1, 4: 0}",0
9,False,"{'a': 0.75, 'e': 0.99898767084784246}",20,0,-75.16770714442731,"{0: 11, 1: 3, 2: 5, 3: 1, 4: 0}",0
10,False,"{'a': 0.75, 'e': 0.99875026039496628}",20,0,-158.23879410982065,"{0: 9, 1: 3, 2: 5, 3: 1, 4: 2}",0
11,False,"{'a': 0.75, 'e': 0.99848788123759846}",20,0,-157.28948250262303,"{0: 8, 1: 4, 2: 4, 3: 3, 4: 1}",0
12,False,"{'a': 0.75, 'e': 0.99820053993520419}",30,0,-209.98387587306868,"{0: 13, 1: 8, 2: 6, 3: 0, 4: 3}",0
13,False,"{'a': 0.75, 'e': 0.99788824367130113}",25,0,-212.85263270096033,"{0: 13, 1: 2, 2: 5, 3: 2, 4: 3}",0
14,False,"{'a': 0.75, 'e': 0.99755100025327959}",20,0,-123.75505647358345,"{0: 10, 1: 5, 2: 3, 3: 0, 4: 2}",0
15,False,"{'a': 0.75, 'e': 0.9971888181122075}",20,0,-162.7177983682982,"{0: 10, 1: 3, 2: 4, 3: 0, 4: 3}",0
16,False,"{'a': 0.75, 'e': 0.99680170630261944}",20,0,-95.75258423737614,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
17,False,"{'a': 0.75, 'e': 0.99638967450229043}",25,0,-166.6252419171977,"{0: 7, 1: 9, 2: 7, 3: 1, 4: 1}",0
18,False,"{'a': 0.75, 'e': 0.99595273301199427}",20,0,-114.90828011272792,"{0: 9, 1: 4, 2: 4, 3: 3, 4: 0}",0
