trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.25, 'e': 0.99998750002604164}",20,9,-57.46211881359812,"{0: 5, 1: 1, 2: 4, 3: 1, 4: 0}",1
2,False,"{'a': 0.25, 'e': 0.99995000041666526}",20,0,-92.57834754425437,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
3,False,"{'a': 0.25, 'e': 0.99988750210935917}",20,0,-119.8573369033678,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
4,False,"{'a': 0.25, 'e': 0.99980000666657776}",20,0,-92.89485074533061,"{0: 9, 1: 4, 2: 6, 3: 1, 4: 0}",0
5,False,"{'a': 0.25, 'e': 0.99968751627570263}",30,0,-193.71634833375606,"{0: 17, 1: 3, 2: 6, 3: 1, 4: 3}",0
6,False,"{'a': 0.25, 'e': 0.99955003374898754}",30,0,-224.56065455869214,"{0: 14, 1: 5, 2: 7, 3: 1, 4: 3}",0
7,False,"{'a': 0.25, 'e': 0.99938756252348859}",20,0,-115.94239736021038,"{0: 8, 1: 5, 2: 6, 3: 0, 4: 1}",0
8,False,"{'a': 0.25, 'e': 0.99920010666097792}",20,0,-66.29962840908753,"{0: 12, 1: 1, 2: 7, 3: 0, 4: 0}",0
9,False,"{'a': 0.25, 'e': 0.99898767084784246}",20,0,-77.83199706606028,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
10,False,"{'a': 0.25, 'e': 0.99875026039496628}",25,0,-270.75636078828273,"{0: 8, 1: 5, 2: 7, 3: 1, 4: 4}",0
11,False,"{'a': 0.25, 'e': 0.99848788123759846}",20,0,-93.16245279095793,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
12,False,"{'a': 0.25, 'e': 0.99820053993520419}",20,0,-90.55540711247117,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
13,False,"{'a': 0.25, 'e': 0.99788824367130113}",25,0,-180.4635164904243,"{0: 10, 1: 4, 2: 9, 3: 0, 4: 2}",0
14,False,"{'a': 0.25, 'e': 0.99755100025327959}",20,0,-120.97551093965973,"{0: 10, 1: 2, 2: 6, 3: 1, 4: 1}",0
15,False,"{'a': 0.25, 'e': 0.9971888181122075}",20,0,-94.23288102079968,"{0: 10, 1: 6, 2: 3, 3: 0, 4: 1}",0
16,False,"{'a': 0.25, 'e': 0.99680170630261944}",25,0,-132.6329239955465,"{0: 15, 1: 3, 2: 5, 3: 0, 4: 2}",0
17,False,"{'a': 0.25, 'e': 0.99638967450229043}",20,0,-96.32371020224043,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
18,False,"{'a': 0.25, 'e': 0.99595273301199427}",30,0,-234.59876693947137,"{0: 13, 1: 5, 2: 8, 3: 1, 4: 3}",0
