trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.75, 'e': 0.99004983374916811}",25,0,-90.47344357562687,"{0: 17, 1: 4, 2: 1, 3: 2, 4: 1}",0
2,False,"{'a': 0.75, 'e': 0.98019867330675525}",20,0,-64.49333082729811,"{0: 14, 1: 3, 2: 1, 3: 1, 4: 1}",0
3,False,"{'a': 0.75, 'e': 0.97044553354850815}",20,0,-78.25237682559786,"{0: 10, 1: 4, 2: 5, 3: 1, 4: 0}",0
4,False,"{'a': 0.75, 'e': 0.96078943915232318}",20,0,-175.02854136338613,"{0: 11, 1: 3, 2: 1, 3: 2, 4: 3}",0
5,False,"{'a': 0.75, 'e': 0.95122942450071402}",20,0,-137.46145167506475,"{0: 9, 1: 1, 2: 8, 3: 1, 4: 1}",0
6,False,"{'a': 0.75, 'e': 0.94176453358424872}",30,0,-273.8212854598328,"{0: 14, 1: 5, 2: 6, 3: 0, 4: 5}",0
7,False,"{'a': 0.75, 'e': 0.93239381990594827}",35,0,-245.70104496665584,"{0: 19, 1: 5, 2: 6, 3: 1, 4: 4}",0
8,False,"{'a': 0.75, 'e': 0.92311634638663576}",25,0,-218.3628292373205,"{0: 9, 1: 5, 2: 8, 3: 0, 4: 3}",0
9,False,"{'a': 0.75, 'e': 0.91393118527122819}",30,0,-140.82179141080965,"{0: 18, 1: 4, 2: 6, 3: 0, 4: 2}",0
10,False,"{'a': 0.75, 'e': 0.90483741803595952}",20,0,-204.4719696216836,"{0: 7, 1: 4, 2: 5, 3: 1, 4: 3}",0
11,False,"{'a': 0.75, 'e': 0.89583413529652822}",25,0,-228.21505126918558,"{0: 12, 1: 3, 2: 5, 3: 1, 4: 4}",0
12,False,"{'a': 0.75, 'e': 0.88692043671715748}",25,0,-224.39091000425162,"{0: 10, 1: 1, 2: 11, 3: 0, 4: 3}",0
13,False,"{'a': 0.75, 'e': 0.8780954309205613}",30,0,-142.04116781825317,"{0: 18, 1: 4, 2: 6, 3: 0, 4: 2}",0
14,False,"{'a': 0.75, 'e': 0.86935823539880586}",25,0,-126.74646715150826,"{0: 15, 1: 4, 2: 2, 3: 3, 4: 1}",0
15,False,"{'a': 0.75, 'e': 0.86070797642505781}",25,0,-166.03696979884526,"{0: 12, 1: 4, 2: 6, 3: 1, 4: 2}",0
16,False,"{'a': 0.75, 'e': 0.85214378896621135}",30,0,-121.9349890096656,"{0: 17, 1: 5, 2: 6, 3: 1, 4: 1}",0
17,False,"{'a': 0.75, 'e': 0.8436648165963837}",20,0,-127.81644258742726,"{0: 9, 1: 2, 2: 7, 3: 1, 4: 1}",0
18,False,"{'a': 0.75, 'e': 0.835270211411272}",20,0,-116.7517574041358,"{0: 11, 1: 0, 2: 7, 3: 1, 4: 1}",0
19,False,"{'a': 0.75, 'e': 0.82695913394336229}",25,0,-160.30316849998326,"{0: 16, 1: 1, 2: 5, 3: 0, 4: 3}",0
20,False,"{'a': 0.75, 'e': 0.81873075307798182}",30,0,-177.79027919549242,"{0: 19, 1: 2, 2: 6, 3: 0, 4: 3}",0
21,False,"{'a': 0.75, 'e': 0.81058424597018708}",20,0,-32.360702512231285,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
22,False,"{'a': 0.75, 'e': 0.80251879796247849}",30,0,-190.18446633178644,"{0: 13, 1: 5, 2: 10, 3: 0, 4: 2}",0
23,False,"{'a': 0.75, 'e': 0.79453360250333405}",25,0,-107.42006402422392,"{0: 13, 1: 6, 2: 5, 3: 0, 4: 1}",0
24,False,"{'a': 0.75, 'e': 0.78662786106655347}",35,0,-126.29490143443772,"{0: 21, 1: 2, 2: 10, 3: 2, 4: 0}",0
25,False,"{'a': 0.75, 'e': 0.77880078307140488}",25,0,-116.61623674984453,"{0: 13, 1: 2, 2: 8, 3: 2, 4: 0}",0
26,False,"{'a': 0.75, 'e': 0.77105158580356625}",20,0,-29.60535170983814,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
27,False,"{'a': 0.75, 'e': 0.76337949433685315}",30,0,-147.66821741984347,"{0: 19, 1: 3, 2: 5, 3: 1, 4: 2}",0
28,False,"{'a': 0.75, 'e': 0.75578374145572547}",30,0,-359.6686473486596,"{0: 12, 1: 2, 2: 6, 3: 5, 4: 5}",0
29,False,"{'a': 0.75, 'e': 0.74826356757856527}",35,0,-196.44293455008284,"{0: 19, 1: 4, 2: 8, 3: 2, 4: 2}",0
30,False,"{'a': 0.75, 'e': 0.74081822068171788}",25,12,-21.590323926482903,"{0: 9, 1: 0, 2: 4, 3: 0, 4: 0}",1
31,False,"{'a': 0.75, 'e': 0.73344695622428924}",20,0,-83.84036077585814,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
32,False,"{'a': 0.75, 'e': 0.72614903707369094}",25,12,-28.740679271338383,"{0: 10, 1: 2, 2: 0, 3: 0, 4: 1}",1
33,False,"{'a': 0.75, 'e': 0.71892373343192617}",20,0,-120.70000015317693,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 3}",0
34,False,"{'a': 0.75, 'e': 0.71177032276260965}",30,3,-138.14938234882368,"{0: 18, 1: 0, 2: 6, 3: 1, 4: 2}",1
35,False,"{'a': 0.75, 'e': 0.70468808971871344}",25,0,-53.855815159073835,"{0: 15, 1: 7, 2: 3, 3: 0, 4: 0}",0
36,False,"{'a': 0.75, 'e': 0.69767632607103103}",25,0,-128.64122193763924,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 2}",0
37,False,"{'a': 0.75, 'e': 0.69073433063735468}",25,0,-151.23669814391786,"{0: 14, 1: 2, 2: 7, 3: 0, 4: 2}",0
