trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.25, 'e': 0.99004983374916811}",20,0,-42.40470077098073,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
2,False,"{'a': 0.25, 'e': 0.98019867330675525}",25,4,-151.81758505083639,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 3}",1
3,False,"{'a': 0.25, 'e': 0.97044553354850815}",20,0,-145.1801812093505,"{0: 10, 1: 3, 2: 4, 3: 1, 4: 2}",0
4,False,"{'a': 0.25, 'e': 0.96078943915232318}",25,0,-105.84178786018882,"{0: 17, 1: 0, 2: 6, 3: 1, 4: 1}",0
5,False,"{'a': 0.25, 'e': 0.95122942450071402}",25,0,-181.08950461245408,"{0: 12, 1: 3, 2: 6, 3: 2, 4: 2}",0
6,False,"{'a': 0.25, 'e': 0.94176453358424872}",25,0,-62.173220002831656,"{0: 15, 1: 4, 2: 6, 3: 0, 4: 0}",0
7,False,"{'a': 0.25, 'e': 0.93239381990594827}",20,0,-151.3882847589559,"{0: 10, 1: 6, 2: 1, 3: 0, 4: 3}",0
8,False,"{'a': 0.25, 'e': 0.92311634638663576}",20,0,-117.60640669005315,"{0: 9, 1: 6, 2: 2, 3: 2, 4: 1}",0
9,False,"{'a': 0.25, 'e': 0.91393118527122819}",25,0,-64.62240289308284,"{0: 15, 1: 4, 2: 6, 3: 0, 4: 0}",0
10,False,"{'a': 0.25, 'e': 0.90483741803595952}",20,0,-181.6589672913265,"{0: 7, 1: 3, 2: 7, 3: 1, 4: 2}",0
11,False,"{'a': 0.25, 'e': 0.89583413529652822}",25,0,-141.26207936268634,"{0: 13, 1: 4, 2: 5, 3: 2, 4: 1}",0
12,False,"{'a': 0.25, 'e': 0.88692043671715748}",25,0,-140.57056543373014,"{0: 15, 1: 3, 2: 4, 3: 1, 4: 2}",0
13,False,"{'a': 0.25, 'e': 0.8780954309205613}",25,0,-96.11598218536314,"{0: 15, 1: 5, 2: 3, 3: 1, 4: 1}",0
14,False,"{'a': 0.25, 'e': 0.86935823539880586}",35,0,-279.2659494815179,"{0: 20, 1: 3, 2: 6, 3: 1, 4: 5}",0
15,False,"{'a': 0.25, 'e': 0.86070797642505781}",20,0,-178.5953010033014,"{0: 7, 1: 7, 2: 3, 3: 0, 4: 3}",0
16,False,"{'a': 0.25, 'e': 0.85214378896621135}",25,0,-176.52231008223947,"{0: 12, 1: 3, 2: 7, 3: 1, 4: 2}",0
17,False,"{'a': 0.25, 'e': 0.8436648165963837}",35,0,-115.70966010412236,"{0: 21, 1: 6, 2: 7, 3: 0, 4: 1}",0
18,False,"{'a': 0.25, 'e': 0.835270211411272}",20,0,-150.54354371686964,"{0: 10, 1: 2, 2: 5, 3: 1, 4: 2}",0
19,False,"{'a': 0.25, 'e': 0.82695913394336229}",20,0,-94.46471881946015,"{0: 12, 1: 6, 2: 0, 3: 0, 4: 2}",0
20,False,"{'a': 0.25, 'e': 0.81873075307798182}",25,0,-189.33015838205984,"{0: 13, 1: 1, 2: 6, 3: 3, 4: 2}",0
21,False,"{'a': 0.25, 'e': 0.81058424597018708}",30,0,-235.87292206594697,"{0: 15, 1: 4, 2: 5, 3: 3, 4: 3}",0
22,False,"{'a': 0.25, 'e': 0.80251879796247849}",25,0,-128.9906602611788,"{0: 13, 1: 8, 2: 1, 3: 1, 4: 2}",0
23,False,"{'a': 0.25, 'e': 0.79453360250333405}",25,0,-151.8771483232255,"{0: 12, 1: 3, 2: 7, 3: 2, 4: 1}",0
24,False,"{'a': 0.25, 'e': 0.78662786106655347}",20,0,-109.60434647058435,"{0: 12, 1: 4, 2: 2, 3: 0, 4: 2}",0
25,False,"{'a': 0.25, 'e': 0.77880078307140488}",25,0,-170.75140173050525,"{0: 14, 1: 3, 2: 5, 3: 0, 4: 3}",0
26,False,"{'a': 0.25, 'e': 0.77105158580356625}",25,0,-84.00497803862832,"{0: 18, 1: 1, 2: 4, 3: 1, 4: 1}",0
27,False,"{'a': 0.25, 'e': 0.76337949433685315}",25,0,-146.27073362668156,"{0: 16, 1: 1, 2: 4, 3: 2, 4: 2}",0
28,False,"{'a': 0.25, 'e': 0.75578374145572547}",20,0,-100.78147131732025,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
29,False,"{'a': 0.25, 'e': 0.74826356757856527}",20,4,-47.10910185772834,"{0: 13, 1: 0, 2: 1, 3: 1, 4: 1}",1
30,False,"{'a': 0.25, 'e': 0.74081822068171788}",25,0,-156.9996013065242,"{0: 13, 1: 3, 2: 6, 3: 1, 4: 2}",0
31,False,"{'a': 0.25, 'e': 0.73344695622428924}",25,0,-161.20279866220253,"{0: 13, 1: 2, 2: 7, 3: 1, 4: 2}",0
32,False,"{'a': 0.25, 'e': 0.72614903707369094}",20,0,-48.712581807685105,"{0: 12, 1: 4, 2: 4, 3: 0, 4: 0}",0
33,False,"{'a': 0.25, 'e': 0.71892373343192617}",20,0,-143.1418823932585,"{0: 11, 1: 0, 2: 6, 3: 1, 4: 2}",0
34,False,"{'a': 0.25, 'e': 0.71177032276260965}",25,10,-80.33492506542147,"{0: 8, 1: 2, 2: 3, 3: 1, 4: 1}",1
35,False,"{'a': 0.25, 'e': 0.70468808971871344}",20,0,-127.69905951007547,"{0: 10, 1: 1, 2: 7, 3: 1, 4: 1}",0
36,False,"{'a': 0.25, 'e': 0.69767632607103103}",20,0,-157.70158828095816,"{0: 12, 1: 1, 2: 3, 3: 1, 4: 3}",0
37,False,"{'a': 0.25, 'e': 0.69073433063735468}",25,0,-56.537837269725486,"{0: 16, 1: 3, 2: 6, 3: 0, 4: 0}",0
38,False,"{'a': 0.25, 'e': 0.68386140921235583}",30,0,-93.20616848206451,"{0: 20, 1: 4, 2: 5, 3: 0, 4: 1}",0
39,False,"{'a': 0.25, 'e': 0.67705687449816465}",20,0,-28.85625070023634,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
40,False,"{'a': 0.25, 'e': 0.67032004603563933}",20,0,-130.05647471908736,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
41,False,"{'a': 0.25, 'e': 0.6636502501363194}",25,0,-88.66543393950175,"{0: 15, 1: 5, 2: 4, 3: 0, 4: 1}",0
42,False,"{'a': 0.25, 'e': 0.65704681981505675}",20,0,-57.59883736631828,"{0: 11, 1: 3, 2: 6, 3: 0, 4: 0}",0
43,False,"{'a': 0.25, 'e': 0.65050909472331653}",20,8,-0.42023131343652764,"{0: 9, 1: 3, 2: 0, 3: 0, 4: 0}",1
44,False,"{'a': 0.25, 'e': 0.64403642108314141}",20,0,-67.57435763748558,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
45,False,"{'a': 0.25, 'e': 0.63762815162177333}",30,16,-64.27698043880407,"{0: 9, 1: 0, 2: 4, 3: 0, 4: 1}",1
46,False,"{'a': 0.25, 'e': 0.63128364550692595}",25,8,-144.53219875038616,"{0: 8, 1: 0, 2: 6, 3: 1, 4: 2}",1
47,False,"{'a': 0.25, 'e': 0.62500226828270078}",20,0,-90.50942830079467,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
48,False,"{'a': 0.25, 'e': 0.61878339180614084}",30,0,-133.5655648926513,"{0: 23, 1: 1, 2: 2, 3: 1, 4: 3}",0
49,False,"{'a': 0.25, 'e': 0.61262639418441611}",35,0,-106.45432719443085,"{0: 25, 1: 3, 2: 4, 3: 2, 4: 1}",0
50,False,"{'a': 0.25, 'e': 0.60653065971263342}",20,0,-140.60866717926726,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
51,False,"{'a': 0.25, 'e': 0.6004955788122659}",20,0,-104.05118850527329,"{0: 12, 1: 2, 2: 3, 3: 2, 4: 1}",0
52,False,"{'a': 0.25, 'e': 0.59452054797019438}",30,0,-58.58096310178746,"{0: 23, 1: 0, 2: 5, 3: 2, 4: 0}",0
