trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.75, 'e': 1.0}",30,0,-227.68384419547073,"{0: 15, 1: 5, 2: 4, 3: 3, 4: 3}",0
2,False,"{'a': 0.75, 'e': 0.25}",30,0,-110.20229845943948,"{0: 19, 1: 3, 2: 6, 3: 1, 4: 1}",0
3,False,"{'a': 0.75, 'e': 0.1111111111111111}",20,16,6.302198315057546,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,False,"{'a': 0.75, 'e': 0.0625}",20,1,-26.237520518223103,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 1}",1
5,False,"{'a': 0.75, 'e': 0.04}",20,0,-77.86256515576194,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
6,False,"{'a': 0.75, 'e': 0.027777777777777776}",20,0,-24.852313647779454,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
7,False,"{'a': 0.75, 'e': 0.02040816326530612}",30,1,-23.138267789638444,"{0: 24, 1: 1, 2: 3, 3: 1, 4: 0}",1
8,False,"{'a': 0.75, 'e': 0.015625}",25,0,18.23754232203521,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
9,False,"{'a': 0.75, 'e': 0.012345679012345678}",30,0,18.920823421544444,"{0: 29, 1: 0, 2: 0, 3: 1, 4: 0}",0
10,False,"{'a': 0.75, 'e': 0.01}",20,0,-17.204988755797867,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
11,False,"{'a': 0.75, 'e': 0.008264462809917356}",20,0,-31.467035636054476,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
12,False,"{'a': 0.75, 'e': 0.006944444444444444}",25,0,-3.4702037674161983,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
13,False,"{'a': 0.75, 'e': 0.005917159763313609}",20,13,13.129757645377826,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
14,False,"{'a': 0.75, 'e': 0.00510204081632653}",25,0,30.937225490878248,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
15,False,"{'a': 0.75, 'e': 0.0044444444444444444}",25,8,20.558130401210324,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
16,False,"{'a': 0.75, 'e': 0.00390625}",30,8,3.3858622620028105,"{0: 19, 1: 1, 2: 2, 3: 0, 4: 0}",1
17,False,"{'a': 0.75, 'e': 0.0034602076124567475}",30,0,-15.270800255965641,"{0: 27, 1: 0, 2: 1, 3: 2, 4: 0}",0
18,False,"{'a': 0.75, 'e': 0.0030864197530864196}",25,0,15.928829748382748,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
19,False,"{'a': 0.75, 'e': 0.002770083102493075}",20,0,3.637804495975538,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
20,False,"{'a': 0.75, 'e': 0.0025}",20,0,-6.889379431417173,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
21,False,"{'a': 0.75, 'e': 0.0022675736961451248}",20,0,-15.111517304900266,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
22,False,"{'a': 0.75, 'e': 0.002066115702479339}",25,0,31.963668142866986,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
23,False,"{'a': 0.75, 'e': 0.001890359168241966}",25,5,13.83294967722558,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",1
24,False,"{'a': 0.75, 'e': 0.001736111111111111}",20,6,20.6070261406919,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
25,False,"{'a': 0.75, 'e': 0.0016}",20,0,21.899622214494606,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
26,False,"{'a': 0.75, 'e': 0.0014792899408284023}",25,0,-9.372584822280595,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
27,False,"{'a': 0.75, 'e': 0.0013717421124828531}",20,3,-17.872907768857356,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
28,False,"{'a': 0.75, 'e': 0.0012755102040816326}",25,17,13.113920389959002,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
29,False,"{'a': 0.75, 'e': 0.0011890606420927466}",35,12,38.06397657156263,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
30,False,"{'a': 0.75, 'e': 0.0011111111111111111}",20,0,4.350175278549805,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
31,False,"{'a': 0.75, 'e': 0.001040582726326743}",20,12,-27.02826253554461,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
32,False,"{'a': 0.75, 'e': 0.0009765625}",20,0,-16.278332769207488,"{0: 18, 1: 0, 2: 0, 3: 2, 4: 0}",0
33,False,"{'a': 0.75, 'e': 0.0009182736455463728}",30,16,13.733585797770257,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
