trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.25, 'e': 1.0}",20,11,-16.048979502249097,"{0: 6, 1: 1, 2: 2, 3: 0, 4: 0}",1
2,False,"{'a': 0.25, 'e': 0.25}",20,0,-75.8318905903412,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
3,False,"{'a': 0.25, 'e': 0.1111111111111111}",30,0,-154.07868618760264,"{0: 20, 1: 2, 2: 3, 3: 3, 4: 2}",0
4,False,"{'a': 0.25, 'e': 0.0625}",20,0,-79.72059320212948,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
5,False,"{'a': 0.25, 'e': 0.04}",25,0,-31.81751222806759,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
6,False,"{'a': 0.25, 'e': 0.027777777777777776}",30,0,-84.98411154839994,"{0: 23, 1: 3, 2: 2, 3: 0, 4: 2}",0
7,False,"{'a': 0.25, 'e': 0.02040816326530612}",20,0,-77.54427645873035,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
8,False,"{'a': 0.25, 'e': 0.015625}",20,0,27.86140925179126,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
9,False,"{'a': 0.25, 'e': 0.012345679012345678}",25,11,-42.13687422600261,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 1}",1
10,False,"{'a': 0.25, 'e': 0.01}",25,14,9.48618475918318,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
11,False,"{'a': 0.25, 'e': 0.008264462809917356}",25,5,-75.48881756814193,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",1
12,False,"{'a': 0.25, 'e': 0.006944444444444444}",20,4,20.220072397566554,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
13,False,"{'a': 0.25, 'e': 0.005917159763313609}",35,0,35.96768493463415,"{0: 33, 1: 2, 2: 0, 3: 0, 4: 0}",0
14,False,"{'a': 0.25, 'e': 0.00510204081632653}",35,11,4.139551702295858,"{0: 22, 1: 0, 2: 1, 3: 1, 4: 0}",1
15,False,"{'a': 0.25, 'e': 0.0044444444444444444}",30,10,-6.5044199091820625,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",1
16,False,"{'a': 0.25, 'e': 0.00390625}",20,0,28.438585694371472,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
17,False,"{'a': 0.25, 'e': 0.0034602076124567475}",30,13,26.929067056287668,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,False,"{'a': 0.25, 'e': 0.0030864197530864196}",20,13,15.369536924612435,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.25, 'e': 0.002770083102493075}",25,1,-14.39817651614563,"{0: 22, 1: 1, 2: 0, 3: 0, 4: 1}",1
20,False,"{'a': 0.25, 'e': 0.0025}",25,7,-56.06860880268708,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 2}",1
21,False,"{'a': 0.25, 'e': 0.0022675736961451248}",20,0,24.97942801205729,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
22,False,"{'a': 0.25, 'e': 0.002066115702479339}",20,0,21.127800886951448,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
23,False,"{'a': 0.25, 'e': 0.001890359168241966}",30,15,27.31895493138507,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
24,False,"{'a': 0.25, 'e': 0.001736111111111111}",20,0,-70.91141009336096,"{0: 16, 1: 0, 2: 1, 3: 2, 4: 1}",0
25,False,"{'a': 0.25, 'e': 0.0016}",20,0,6.2537556618711605,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
26,False,"{'a': 0.25, 'e': 0.0014792899408284023}",25,0,-17.348560548193355,"{0: 23, 1: 1, 2: 0, 3: 0, 4: 1}",0
27,False,"{'a': 0.25, 'e': 0.0013717421124828531}",30,13,27.617030489856386,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
28,False,"{'a': 0.25, 'e': 0.0012755102040816326}",25,7,17.24304051613566,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
29,False,"{'a': 0.25, 'e': 0.0011890606420927466}",20,6,5.037132098362962,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
30,False,"{'a': 0.25, 'e': 0.0011111111111111111}",30,3,37.87355813547281,"{0: 27, 1: 0, 2: 0, 3: 0, 4: 0}",1
31,False,"{'a': 0.25, 'e': 0.001040582726326743}",25,0,-9.472559961138696,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
32,False,"{'a': 0.25, 'e': 0.0009765625}",25,0,31.814350461276298,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
33,False,"{'a': 0.25, 'e': 0.0009182736455463728}",35,23,-1.6977592972020152,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
34,False,"{'a': 0.25, 'e': 0.0008650519031141869}",20,0,-18.82022298675083,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
35,False,"{'a': 0.25, 'e': 0.0008163265306122449}",30,21,19.1498334688127,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
36,False,"{'a': 0.25, 'e': 0.0007716049382716049}",25,0,25.41492459239381,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
37,False,"{'a': 0.25, 'e': 0.0007304601899196494}",25,0,35.87045897005434,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
38,False,"{'a': 0.25, 'e': 0.0006925207756232687}",20,9,17.537944223927198,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
39,False,"{'a': 0.25, 'e': 0.0006574621959237344}",20,0,33.22841666921706,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
40,False,"{'a': 0.25, 'e': 0.000625}",25,7,28.745602232963865,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
41,False,"{'a': 0.25, 'e': 0.000594883997620464}",20,3,18.13648964750038,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
42,False,"{'a': 0.25, 'e': 0.0005668934240362812}",25,0,30.75526240285462,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
43,False,"{'a': 0.25, 'e': 0.0005408328826392645}",25,10,22.96716169279945,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
44,False,"{'a': 0.25, 'e': 0.0005165289256198347}",20,0,26.962259321687494,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
45,False,"{'a': 0.25, 'e': 0.0004938271604938272}",25,0,30.758114053096854,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
46,False,"{'a': 0.25, 'e': 0.0004725897920604915}",25,0,-9.519897758680418,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
47,False,"{'a': 0.25, 'e': 0.0004526935264825713}",25,0,38.425646784612056,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
48,False,"{'a': 0.25, 'e': 0.00043402777777777775}",25,0,25.641388233586795,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
49,False,"{'a': 0.25, 'e': 0.00041649312786339027}",25,0,-5.108260469048156,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
50,False,"{'a': 0.25, 'e': 0.0004}",30,0,42.82004595429206,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
51,False,"{'a': 0.25, 'e': 0.00038446751249519417}",35,21,26.986284630621935,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
52,False,"{'a': 0.25, 'e': 0.0003698224852071006}",20,0,5.877451038484399,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
53,False,"{'a': 0.25, 'e': 0.000355998576005696}",20,8,-20.54693466168705,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
54,False,"{'a': 0.25, 'e': 0.0003429355281207133}",35,0,28.727165201346732,"{0: 34, 1: 0, 2: 0, 3: 1, 4: 0}",1
55,False,"{'a': 0.25, 'e': 0.00033057851239669424}",25,0,29.267402670272133,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
