trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.75, 'e': 0.99}",25,0,-166.79960707496645,"{0: 11, 1: 4, 2: 8, 3: 0, 4: 2}",0
2,False,"{'a': 0.75, 'e': 0.9801}",20,0,-116.07654014866252,"{0: 11, 1: 5, 2: 2, 3: 0, 4: 2}",0
3,False,"{'a': 0.75, 'e': 0.970299}",25,0,-170.52493316018206,"{0: 14, 1: 4, 2: 3, 3: 1, 4: 3}",0
4,False,"{'a': 0.75, 'e': 0.96059601}",20,0,-130.0498535724882,"{0: 11, 1: 3, 2: 3, 3: 1, 4: 2}",0
5,False,"{'a': 0.75, 'e': 0.9509900498999999}",25,0,-118.06342631488569,"{0: 14, 1: 2, 2: 8, 3: 0, 4: 1}",0
6,False,"{'a': 0.75, 'e': 0.941480149401}",20,0,-114.494368899658,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
7,False,"{'a': 0.75, 'e': 0.9320653479069899}",25,0,-113.11526800795795,"{0: 15, 1: 3, 2: 5, 3: 1, 4: 1}",0
8,False,"{'a': 0.75, 'e': 0.9227446944279201}",30,0,-299.6682448686731,"{0: 12, 1: 8, 2: 3, 3: 2, 4: 5}",0
9,False,"{'a': 0.75, 'e': 0.9135172474836408}",30,0,-209.5725689596569,"{0: 14, 1: 2, 2: 10, 3: 2, 4: 2}",0
10,False,"{'a': 0.75, 'e': 0.9043820750088044}",20,0,-95.93313444022367,"{0: 9, 1: 6, 2: 3, 3: 2, 4: 0}",0
11,False,"{'a': 0.75, 'e': 0.8953382542587164}",25,0,-118.8187132641703,"{0: 13, 1: 4, 2: 7, 3: 0, 4: 1}",0
12,False,"{'a': 0.75, 'e': 0.8863848717161292}",30,0,-215.0901052607392,"{0: 16, 1: 3, 2: 6, 3: 2, 4: 3}",0
13,False,"{'a': 0.75, 'e': 0.8775210229989678}",30,0,-193.83042131705608,"{0: 18, 1: 3, 2: 4, 3: 2, 4: 3}",0
14,False,"{'a': 0.75, 'e': 0.8687458127689782}",30,0,-241.0996776759216,"{0: 17, 1: 2, 2: 5, 3: 2, 4: 4}",0
15,False,"{'a': 0.75, 'e': 0.8600583546412884}",25,0,-100.14482433600872,"{0: 15, 1: 2, 2: 7, 3: 0, 4: 1}",0
16,False,"{'a': 0.75, 'e': 0.8514577710948755}",35,0,-205.69296197854513,"{0: 22, 1: 2, 2: 7, 3: 1, 4: 3}",0
17,False,"{'a': 0.75, 'e': 0.8429431933839268}",30,12,-82.39339772387123,"{0: 10, 1: 1, 2: 5, 3: 2, 4: 0}",1
18,False,"{'a': 0.75, 'e': 0.8345137614500875}",20,0,-27.843862954845132,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
19,False,"{'a': 0.75, 'e': 0.8261686238355866}",25,0,-114.69359575852575,"{0: 17, 1: 1, 2: 5, 3: 0, 4: 2}",0
20,False,"{'a': 0.75, 'e': 0.8179069375972308}",20,0,-167.06891725380973,"{0: 9, 1: 2, 2: 6, 3: 1, 4: 2}",0
21,False,"{'a': 0.75, 'e': 0.8097278682212584}",20,0,-125.94053994791733,"{0: 11, 1: 0, 2: 6, 3: 2, 4: 1}",0
22,False,"{'a': 0.75, 'e': 0.8016305895390459}",20,0,-49.736260445156944,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
23,False,"{'a': 0.75, 'e': 0.7936142836436554}",30,0,-236.795635451173,"{0: 15, 1: 5, 2: 5, 3: 1, 4: 4}",0
24,False,"{'a': 0.75, 'e': 0.7856781408072188}",20,0,-91.55777145781099,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
25,False,"{'a': 0.75, 'e': 0.7778213593991467}",20,9,-33.42623563157067,"{0: 7, 1: 1, 2: 2, 3: 1, 4: 0}",1
26,False,"{'a': 0.75, 'e': 0.7700431458051551}",25,13,-28.477566770754937,"{0: 7, 1: 2, 2: 3, 3: 0, 4: 0}",1
27,False,"{'a': 0.75, 'e': 0.7623427143471035}",30,0,-187.99232141242112,"{0: 16, 1: 6, 2: 4, 3: 1, 4: 3}",0
28,False,"{'a': 0.75, 'e': 0.7547192872036326}",25,0,-86.18396375560081,"{0: 16, 1: 3, 2: 5, 3: 0, 4: 1}",0
29,False,"{'a': 0.75, 'e': 0.7471720943315961}",25,14,-63.86601415834128,"{0: 7, 1: 0, 2: 2, 3: 1, 4: 1}",1
30,False,"{'a': 0.75, 'e': 0.7397003733882802}",20,0,-159.02293154676855,"{0: 10, 1: 3, 2: 4, 3: 0, 4: 3}",0
31,False,"{'a': 0.75, 'e': 0.7323033696543975}",20,0,-49.37139873126373,"{0: 12, 1: 4, 2: 4, 3: 0, 4: 0}",0
32,False,"{'a': 0.75, 'e': 0.7249803359578534}",35,0,-91.60080456813564,"{0: 28, 1: 2, 2: 3, 3: 0, 4: 2}",0
33,False,"{'a': 0.75, 'e': 0.7177305325982749}",30,9,-56.4855702136157,"{0: 14, 1: 1, 2: 5, 3: 1, 4: 0}",1
