trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.25, 'e': 0.99}",30,0,-173.9945761408478,"{0: 18, 1: 5, 2: 3, 3: 1, 4: 3}",0
2,False,"{'a': 0.25, 'e': 0.9801}",30,0,-111.35508764618434,"{0: 19, 1: 3, 2: 6, 3: 1, 4: 1}",0
3,False,"{'a': 0.25, 'e': 0.970299}",25,0,-103.24371064039083,"{0: 13, 1: 4, 2: 6, 3: 2, 4: 0}",0
4,False,"{'a': 0.25, 'e': 0.96059601}",30,0,-127.91394888993014,"{0: 18, 1: 4, 2: 6, 3: 1, 4: 1}",0
5,False,"{'a': 0.25, 'e': 0.9509900498999999}",20,0,-107.22601005747703,"{0: 12, 1: 3, 2: 2, 3: 2, 4: 1}",0
6,False,"{'a': 0.25, 'e': 0.941480149401}",20,0,-123.93615348411598,"{0: 8, 1: 4, 2: 7, 3: 0, 4: 1}",0
7,False,"{'a': 0.25, 'e': 0.9320653479069899}",20,0,-147.27637206436486,"{0: 9, 1: 3, 2: 4, 3: 3, 4: 1}",0
8,False,"{'a': 0.25, 'e': 0.9227446944279201}",25,0,-72.3883105848109,"{0: 14, 1: 3, 2: 8, 3: 0, 4: 0}",0
9,False,"{'a': 0.25, 'e': 0.9135172474836408}",30,0,-231.95340669735478,"{0: 15, 1: 4, 2: 7, 3: 0, 4: 4}",0
10,False,"{'a': 0.25, 'e': 0.9043820750088044}",25,0,-225.11485013823477,"{0: 11, 1: 5, 2: 3, 3: 3, 4: 3}",0
11,False,"{'a': 0.25, 'e': 0.8953382542587164}",35,0,-187.69261518931876,"{0: 16, 1: 7, 2: 9, 3: 2, 4: 1}",0
12,False,"{'a': 0.25, 'e': 0.8863848717161292}",25,0,-137.01648853923624,"{0: 14, 1: 5, 2: 4, 3: 0, 4: 2}",0
13,False,"{'a': 0.25, 'e': 0.8775210229989678}",30,0,-212.52144126472936,"{0: 17, 1: 2, 2: 7, 3: 1, 4: 3}",0
14,False,"{'a': 0.25, 'e': 0.8687458127689782}",25,0,-143.51194281237287,"{0: 14, 1: 4, 2: 4, 3: 1, 4: 2}",0
15,False,"{'a': 0.25, 'e': 0.8600583546412884}",20,0,-181.0135910369666,"{0: 9, 1: 0, 2: 7, 3: 2, 4: 2}",0
16,False,"{'a': 0.25, 'e': 0.8514577710948755}",20,0,-90.47084968220324,"{0: 12, 1: 4, 2: 2, 3: 1, 4: 1}",0
17,False,"{'a': 0.25, 'e': 0.8429431933839268}",30,0,-129.69906563198597,"{0: 18, 1: 2, 2: 8, 3: 1, 4: 1}",0
18,False,"{'a': 0.25, 'e': 0.8345137614500875}",35,0,-139.58188073425202,"{0: 19, 1: 8, 2: 6, 3: 1, 4: 1}",0
19,False,"{'a': 0.25, 'e': 0.8261686238355866}",25,0,-130.45800117385554,"{0: 17, 1: 0, 2: 5, 3: 1, 4: 2}",0
20,False,"{'a': 0.25, 'e': 0.8179069375972308}",20,0,-95.5999184769632,"{0: 11, 1: 1, 2: 6, 3: 2, 4: 0}",0
21,False,"{'a': 0.25, 'e': 0.8097278682212584}",20,0,-113.83287429362235,"{0: 9, 1: 5, 2: 4, 3: 1, 4: 1}",0
22,False,"{'a': 0.25, 'e': 0.8016305895390459}",30,0,-118.9032918647657,"{0: 17, 1: 3, 2: 9, 3: 0, 4: 1}",0
23,False,"{'a': 0.25, 'e': 0.7936142836436554}",35,0,-298.43946946997943,"{0: 16, 1: 5, 2: 7, 3: 3, 4: 4}",0
24,False,"{'a': 0.25, 'e': 0.7856781408072188}",25,0,-173.06024958071177,"{0: 14, 1: 2, 2: 6, 3: 0, 4: 3}",0
25,False,"{'a': 0.25, 'e': 0.7778213593991467}",20,0,-130.97506867789195,"{0: 9, 1: 6, 2: 3, 3: 0, 4: 2}",0
26,False,"{'a': 0.25, 'e': 0.7700431458051551}",25,0,-105.17618862190164,"{0: 12, 1: 4, 2: 8, 3: 1, 4: 0}",0
27,False,"{'a': 0.25, 'e': 0.7623427143471035}",30,0,-152.853601642297,"{0: 19, 1: 2, 2: 5, 3: 2, 4: 2}",0
28,False,"{'a': 0.25, 'e': 0.7547192872036326}",20,0,-145.75699620234943,"{0: 10, 1: 7, 2: 0, 3: 0, 4: 3}",0
29,False,"{'a': 0.25, 'e': 0.7471720943315961}",30,0,-222.36893478884764,"{0: 15, 1: 3, 2: 8, 3: 1, 4: 3}",0
30,False,"{'a': 0.25, 'e': 0.7397003733882802}",20,11,-82.78492350811291,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 2}",1
31,False,"{'a': 0.25, 'e': 0.7323033696543975}",20,0,-27.831961031297702,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
32,False,"{'a': 0.25, 'e': 0.7249803359578534}",35,3,-59.059661653624104,"{0: 21, 1: 8, 2: 2, 3: 1, 4: 0}",1
33,False,"{'a': 0.25, 'e': 0.7177305325982749}",20,0,-169.68822553777173,"{0: 9, 1: 2, 2: 5, 3: 2, 4: 2}",0
34,False,"{'a': 0.25, 'e': 0.7105532272722921}",25,0,-43.869457779611075,"{0: 16, 1: 6, 2: 3, 3: 0, 4: 0}",0
35,False,"{'a': 0.25, 'e': 0.7034476949995692}",20,0,-96.7459932234525,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
36,False,"{'a': 0.25, 'e': 0.6964132180495735}",20,0,-76.69793800464564,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
37,False,"{'a': 0.25, 'e': 0.6894490858690777}",20,0,-156.04955269100495,"{0: 11, 1: 1, 2: 4, 3: 2, 4: 2}",0
38,False,"{'a': 0.25, 'e': 0.682554595010387}",25,0,-228.7802776912256,"{0: 11, 1: 3, 2: 7, 3: 0, 4: 4}",0
39,False,"{'a': 0.25, 'e': 0.6757290490602831}",25,0,-53.28733287943798,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
40,False,"{'a': 0.25, 'e': 0.6689717585696803}",20,0,-164.91892381768386,"{0: 12, 1: 3, 2: 1, 3: 0, 4: 4}",0
41,False,"{'a': 0.25, 'e': 0.6622820409839835}",25,11,-101.53329532721823,"{0: 8, 1: 1, 2: 3, 3: 0, 4: 2}",1
42,False,"{'a': 0.25, 'e': 0.6556592205741436}",25,0,-125.51994109995562,"{0: 17, 1: 2, 2: 3, 3: 1, 4: 2}",0
43,False,"{'a': 0.25, 'e': 0.6491026283684022}",20,0,-116.78954695169111,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
44,False,"{'a': 0.25, 'e': 0.6426116020847181}",30,0,-162.11827481959284,"{0: 20, 1: 4, 2: 1, 3: 2, 4: 3}",0
45,False,"{'a': 0.25, 'e': 0.6361854860638709}",20,0,-99.71055685331243,"{0: 15, 1: 0, 2: 2, 3: 1, 4: 2}",0
46,False,"{'a': 0.25, 'e': 0.6298236312032323}",30,0,-129.87250315378043,"{0: 21, 1: 1, 2: 5, 3: 1, 4: 2}",0
47,False,"{'a': 0.25, 'e': 0.6235253948912}",25,0,-46.862425403598095,"{0: 16, 1: 4, 2: 5, 3: 0, 4: 0}",0
48,False,"{'a': 0.25, 'e': 0.617290140942288}",20,0,-4.771591526931857,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
49,False,"{'a': 0.25, 'e': 0.611117239532865}",25,0,-80.95563292019247,"{0: 13, 1: 5, 2: 7, 3: 0, 4: 0}",0
50,False,"{'a': 0.25, 'e': 0.6050060671375364}",20,0,-95.64746067783199,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
51,False,"{'a': 0.25, 'e': 0.598956006466161}",20,0,-29.098140788464292,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
52,False,"{'a': 0.25, 'e': 0.5929664464014994}",20,0,-148.92192221500156,"{0: 7, 1: 1, 2: 9, 3: 3, 4: 0}",0
53,False,"{'a': 0.25, 'e': 0.5870367819374844}",35,3,-219.34772415098107,"{0: 20, 1: 3, 2: 3, 3: 2, 4: 4}",1
54,False,"{'a': 0.25, 'e': 0.5811664141181095}",30,0,-125.47127173773437,"{0: 19, 1: 4, 2: 5, 3: 0, 4: 2}",0
55,False,"{'a': 0.25, 'e': 0.5753547499769285}",20,8,-28.21355089278593,"{0: 8, 1: 2, 2: 1, 3: 1, 4: 0}",1
56,False,"{'a': 0.25, 'e': 0.5696012024771592}",20,5,-28.553213407407295,"{0: 9, 1: 3, 2: 3, 3: 0, 4: 0}",1
57,False,"{'a': 0.25, 'e': 0.5639051904523875}",20,6,-27.043924061700544,"{0: 11, 1: 0, 2: 2, 3: 1, 4: 0}",1
58,False,"{'a': 0.25, 'e': 0.5582661385478637}",35,1,-109.24822910644332,"{0: 23, 1: 1, 2: 8, 3: 1, 4: 1}",1
59,False,"{'a': 0.25, 'e': 0.5526834771623851}",25,10,-59.562615599498926,"{0: 10, 1: 1, 2: 3, 3: 0, 4: 1}",1
60,False,"{'a': 0.25, 'e': 0.5471566423907612}",30,0,-158.98206923255515,"{0: 21, 1: 1, 2: 4, 3: 1, 4: 3}",0
61,False,"{'a': 0.25, 'e': 0.5416850759668536}",20,0,-68.51940625162923,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
62,False,"{'a': 0.25, 'e': 0.536268225207185}",30,0,-75.25727177493714,"{0: 22, 1: 3, 2: 3, 3: 1, 4: 1}",0
