trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.75, 'e': 0.99999966192576595}",20,0,-131.20640743186442,"{0: 10, 1: 3, 2: 5, 3: 0, 4: 2}",0
2,False,"{'a': 0.75, 'e': 0.99999962637020157}",25,0,-130.3078742093758,"{0: 14, 1: 4, 2: 5, 3: 0, 4: 2}",0
3,False,"{'a': 0.75, 'e': 0.99999958707522896}",20,0,-52.556390011811466,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0
4,False,"{'a': 0.75, 'e': 0.99999954364757149}",20,0,-182.06042258958738,"{0: 11, 1: 0, 2: 5, 3: 1, 4: 3}",0
5,False,"{'a': 0.75, 'e': 0.99999949565259183}",20,0,-150.75129331287192,"{0: 7, 1: 0, 2: 12, 3: 0, 4: 1}",0
6,False,"{'a': 0.75, 'e': 0.99999944260994145}",30,0,-254.06226612270487,"{0: 14, 1: 2, 2: 8, 3: 3, 4: 3}",0
7,False,"{'a': 0.75, 'e': 0.99999938398875332}",20,0,-193.304504486174,"{0: 7, 1: 2, 2: 7, 3: 2, 4: 2}",0
8,False,"{'a': 0.75, 'e': 0.9999993192023291}",20,0,-122.97209656854285,"{0: 10, 1: 4, 2: 3, 3: 2, 4: 1}",0
9,False,"{'a': 0.75, 'e': 0.99999924760226688}",20,0,-181.0683968930209,"{0: 7, 1: 4, 2: 5, 3: 2, 4: 2}",0
10,False,"{'a': 0.75, 'e': 0.99999916847197234}",30,0,-162.53905510716282,"{0: 13, 1: 6, 2: 9, 3: 1, 4: 1}",0
11,False,"{'a': 0.75, 'e': 0.99999908101948665}",30,0,-157.72875462935787,"{0: 11, 1: 9, 2: 8, 3: 2, 4: 0}",0
12,False,"{'a': 0.75, 'e': 0.99999898436956047}",30,0,-257.2751495985313,"{0: 11, 1: 3, 2: 13, 3: 0, 4: 3}",0
13,False,"{'a': 0.75, 'e': 0.99999887755489469}",30,0,-216.63302586990758,"{0: 11, 1: 5, 2: 10, 3: 3, 4: 1}",0
14,False,"{'a': 0.75, 'e': 0.99999875950645889}",30,0,-251.66295068136392,"{0: 12, 1: 8, 2: 6, 3: 0, 4: 4}",0
15,False,"{'a': 0.75, 'e': 0.99999862904279313}",20,0,-193.10337776897478,"{0: 7, 1: 2, 2: 7, 3: 2, 4: 2}",0
16,False,"{'a': 0.75, 'e': 0.99999848485818355}",25,0,-174.8385290322166,"{0: 11, 1: 6, 2: 4, 3: 2, 4: 2}",0
17,False,"{'a': 0.75, 'e': 0.99999832550959444}",25,0,-133.91444668358008,"{0: 14, 1: 5, 2: 2, 3: 3, 4: 1}",0
