trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.25, 'e': 0.99999966192576595}",20,0,-87.82252571361764,"{0: 11, 1: 4, 2: 4, 3: 0, 4: 1}",0
2,False,"{'a': 0.25, 'e': 0.99999962637020157}",25,0,-208.55918341062286,"{0: 9, 1: 6, 2: 5, 3: 3, 4: 2}",0
3,False,"{'a': 0.25, 'e': 0.99999958707522896}",20,0,-162.8889906300128,"{0: 9, 1: 2, 2: 6, 3: 1, 4: 2}",0
4,False,"{'a': 0.25, 'e': 0.99999954364757149}",25,0,-138.36651394215806,"{0: 15, 1: 3, 2: 4, 3: 1, 4: 2}",0
5,False,"{'a': 0.25, 'e': 0.99999949565259183}",20,0,-191.31079541035695,"{0: 8, 1: 2, 2: 7, 3: 0, 4: 3}",0
6,False,"{'a': 0.25, 'e': 0.99999944260994145}",20,0,-99.35007142183075,"{0: 12, 1: 0, 2: 7, 3: 0, 4: 1}",0
7,False,"{'a': 0.25, 'e': 0.99999938398875332}",20,0,-103.46052428072362,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
8,False,"{'a': 0.25, 'e': 0.9999993192023291}",20,6,-62.31122025594344,"{0: 8, 1: 1, 2: 3, 3: 2, 4: 0}",1
9,False,"{'a': 0.25, 'e': 0.99999924760226688}",20,0,-113.50001950384552,"{0: 7, 1: 4, 2: 8, 3: 1, 4: 0}",0
10,False,"{'a': 0.25, 'e': 0.99999916847197234}",30,0,-203.1337712002253,"{0: 14, 1: 3, 2: 10, 3: 1, 4: 2}",0
11,False,"{'a': 0.25, 'e': 0.99999908101948665}",30,3,-200.71924381818377,"{0: 13, 1: 5, 2: 5, 3: 1, 4: 3}",1
12,False,"{'a': 0.25, 'e': 0.99999898436956047}",20,0,-169.11974927102113,"{0: 10, 1: 2, 2: 5, 3: 0, 4: 3}",0
13,False,"{'a': 0.25, 'e': 0.99999887755489469}",25,0,-88.31646920841096,"{0: 17, 1: 3, 2: 3, 3: 1, 4: 1}",0
14,False,"{'a': 0.25, 'e': 0.99999875950645889}",20,0,-120.51076085896214,"{0: 10, 1: 0, 2: 9, 3: 0, 4: 1}",0
15,False,"{'a': 0.25, 'e': 0.99999862904279313}",20,0,-123.11640797383146,"{0: 10, 1: 2, 2: 6, 3: 1, 4: 1}",0
16,False,"{'a': 0.25, 'e': 0.99999848485818355}",20,0,-155.0806568753635,"{0: 10, 1: 3, 2: 3, 3: 2, 4: 2}",0
17,False,"{'a': 0.25, 'e': 0.99999832550959444}",25,0,-149.3836799136416,"{0: 15, 1: 2, 2: 4, 3: 2, 4: 2}",0
18,False,"{'a': 0.25, 'e': 0.99999814940222709}",20,0,-169.9587188349856,"{0: 8, 1: 4, 2: 4, 3: 2, 4: 2}",0
19,False,"{'a': 0.25, 'e': 0.99999795477355846}",25,0,-213.23138123707008,"{0: 10, 1: 5, 2: 4, 3: 4, 4: 2}",0
20,False,"{'a': 0.25, 'e': 0.99999773967570205}",30,0,-223.9842025969607,"{0: 11, 1: 7, 2: 8, 3: 2, 4: 2}",0
21,False,"{'a': 0.25, 'e': 0.99999750195591441}",20,0,-170.64975835868484,"{0: 7, 1: 5, 2: 5, 3: 1, 4: 2}",0
22,False,"{'a': 0.25, 'e': 0.9999972392350498}",20,0,-118.03516934874492,"{0: 8, 1: 3, 2: 7, 3: 2, 4: 0}",0
23,False,"{'a': 0.25, 'e': 0.99999694888375135}",25,0,-222.42591208383703,"{0: 13, 1: 1, 2: 5, 3: 3, 4: 3}",0
24,False,"{'a': 0.25, 'e': 0.99999662799613631}",20,0,-152.45016505935268,"{0: 7, 1: 6, 2: 5, 3: 0, 4: 2}",0
25,False,"{'a': 0.25, 'e': 0.99999627336071584}",20,0,-127.05897568937327,"{0: 9, 1: 3, 2: 6, 3: 1, 4: 1}",0
26,False,"{'a': 0.25, 'e': 0.99999588142825513}",30,0,-165.79158891243674,"{0: 12, 1: 8, 2: 9, 3: 0, 4: 1}",0
27,False,"{'a': 0.25, 'e': 0.99999544827625519}",20,6,-155.0341154845379,"{0: 4, 1: 2, 2: 5, 3: 1, 4: 2}",1
28,False,"{'a': 0.25, 'e': 0.99999496956969824}",20,0,-132.93006472957725,"{0: 10, 1: 3, 2: 5, 3: 0, 4: 2}",0
29,False,"{'a': 0.25, 'e': 0.99999444051766639}",20,0,-103.46738675442313,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
30,False,"{'a': 0.25, 'e': 0.99999385582539779}",30,0,-212.4379463453136,"{0: 11, 1: 6, 2: 11, 3: 0, 4: 2}",0
31,False,"{'a': 0.25, 'e': 0.99999320964130189}",20,0,-137.8407211161231,"{0: 8, 1: 3, 2: 7, 3: 1, 4: 1}",0
32,False,"{'a': 0.25, 'e': 0.99999249549840286}",20,0,-145.0086814948271,"{0: 7, 1: 6, 2: 4, 3: 2, 4: 1}",0
33,False,"{'a': 0.25, 'e': 0.99999170624962608}",20,0,-115.94813486331168,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
34,False,"{'a': 0.25, 'e': 0.99999083399628019}",20,0,-221.7448017829446,"{0: 9, 1: 2, 2: 4, 3: 1, 4: 4}",0
35,False,"{'a': 0.25, 'e': 0.99998987000901918}",25,0,-247.6953150132885,"{0: 9, 1: 7, 2: 4, 3: 1, 4: 4}",0
36,False,"{'a': 0.25, 'e': 0.99998880464049489}",25,0,-134.41388421254644,"{0: 14, 1: 3, 2: 5, 3: 2, 4: 1}",0
37,False,"{'a': 0.25, 'e': 0.99998762722882562}",20,0,-158.2441194569618,"{0: 10, 1: 1, 2: 6, 3: 1, 4: 2}",0
38,False,"{'a': 0.25, 'e': 0.99998632599091541}",25,0,-190.5008300050175,"{0: 13, 1: 1, 2: 6, 3: 3, 4: 2}",0
39,False,"{'a': 0.25, 'e': 0.99998488790455897}",25,0,-192.35995959285952,"{0: 11, 1: 4, 2: 6, 3: 2, 4: 2}",0
40,False,"{'a': 0.25, 'e': 0.99998329857815194}",20,0,-114.18555532160211,"{0: 7, 1: 4, 2: 8, 3: 1, 4: 0}",0
41,False,"{'a': 0.25, 'e': 0.99998154210670431}",25,0,-255.6826488640119,"{0: 9, 1: 2, 2: 9, 3: 2, 4: 3}",0
42,False,"{'a': 0.25, 'e': 0.99997960091272009}",25,0,-239.42671989010083,"{0: 10, 1: 2, 2: 8, 3: 2, 4: 3}",0
43,False,"{'a': 0.25, 'e': 0.99997745557034956}",20,0,-197.59648879284026,"{0: 7, 1: 4, 2: 6, 3: 0, 4: 3}",0
44,False,"{'a': 0.25, 'e': 0.99997508461106055}",25,0,-179.4305141656271,"{0: 13, 1: 3, 2: 5, 3: 2, 4: 2}",0
