trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",30,21,0.9364337562730041,"{0: 7, 1: 2, 2: 0, 3: 0, 4: 0}",1
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-118.01968265004076,"{0: 13, 1: 3, 2: 1, 3: 1, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-146.59147264149115,"{0: 11, 1: 6, 2: 5, 3: 2, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-48.210483249047044,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,0,-138.2120775639255,"{0: 16, 1: 2, 2: 4, 3: 1, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-95.17084028767708,"{0: 11, 1: 6, 2: 0, 3: 2, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-116.60805066214024,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",30,3,-67.46435517530455,"{0: 17, 1: 4, 2: 5, 3: 1, 4: 0}",1
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-93.75992717946191,"{0: 15, 1: 5, 2: 4, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,0,-132.43664973034913,"{0: 16, 1: 1, 2: 5, 3: 1, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-90.7379279595672,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-39.45819175453223,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,2.861317035007045,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,8,-76.65131598136595,"{0: 14, 1: 0, 2: 0, 3: 1, 4: 2}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",30,0,-79.55014508993177,"{0: 22, 1: 2, 2: 5, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",35,3,-80.66178747357566,"{0: 20, 1: 6, 2: 4, 3: 2, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",30,0,-183.14127808075978,"{0: 16, 1: 6, 2: 3, 3: 3, 4: 2}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,0,-92.7040648158196,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,0,-201.95335229959875,"{0: 8, 1: 4, 2: 3, 3: 2, 4: 3}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,-38.10702393339334,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
1,True,"{'a': 0, 'e': 0}",20,0,-45.07446059284129,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
2,True,"{'a': 0, 'e': 0}",25,0,-166.07691843472463,"{0: 15, 1: 1, 2: 6, 3: 0, 4: 3}",0
3,True,"{'a': 0, 'e': 0}",20,0,-153.99991080652651,"{0: 9, 1: 1, 2: 8, 3: 0, 4: 2}",0
4,True,"{'a': 0, 'e': 0}",25,0,-35.50277912216072,"{0: 19, 1: 3, 2: 2, 3: 1, 4: 0}",0
5,True,"{'a': 0, 'e': 0}",25,6,-112.26309317322037,"{0: 10, 1: 1, 2: 6, 3: 1, 4: 1}",1
6,True,"{'a': 0, 'e': 0}",25,0,-105.7849646727585,"{0: 15, 1: 3, 2: 5, 3: 1, 4: 1}",0
7,True,"{'a': 0, 'e': 0}",20,0,-87.31082701825413,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
8,True,"{'a': 0, 'e': 0}",30,0,-228.90810348216235,"{0: 18, 1: 2, 2: 3, 3: 3, 4: 4}",0
9,True,"{'a': 0, 'e': 0}",30,0,-190.3750346627841,"{0: 17, 1: 4, 2: 5, 3: 1, 4: 3}",0
10,True,"{'a': 0, 'e': 0}",20,0,-56.65321473290241,"{0: 14, 1: 4, 2: 1, 3: 0, 4: 1}",0
